latitude,longitude,sid,title,chart_title,type
38.0517,-122.0903,c_32,"Avon Pier, 0.15 nmi north of (depth 30 ft), Suisun Bay, California Current",,current
46.2620,-123.998,c_33,"Baker Bay entrance, E of Sand Island Tower (depth 23 ft), Oregon Current",,current
37.7978,-122.4885,c_34,"Baker Beach (South Bay), 0.3 nmi NW of (depth 31 ft), California Current",,current
33.6000,-117.9,t_21,"Balboa Pier, Newport Beach, California",,tide
32.6958,-117.2325,c_35,"Ballast Point, 0.55 nmi north of (depth 14 ft), San Diego Bay, California Current",,current
32.6833,-117.2333,c_36,"Ballast Point, 100 yards north of, San Diego Bay, California Current",,current
32.6867,-117.233,t_22,"Ballast Point, California",,tide
32.6845,-117.2322,c_37,"Ballast Point, south of (depth 5 ft), San Diego Bay, California Current",,current
43.1200,-124.413,t_23,"Bandon, Coquille River, Oregon",,tide
44.6167,-124.0833,t_24,"Bar at entrance, Yaquina Bay and River, Oregon",,tide
48.6858,-122.7888,c_38,"Barnes Island, 0.8 mi southwest of, Rosario Strait, Washington Current",,current
48.6833,-122.7667,c_39,"Barnes Island, 0.8 mile SW of, Washington Current",,current
45.5683,-123.943,t_25,"Barview, Tillamook Bay, Oregon",,tide
37.8009,-122.3739,c_40,"Bay Bridge, Pier D (depth 9 ft), San Francisco Bay, California Current",,current
37.7975,-122.3739,c_41,"Bay Bridge, Span B-C (depth 11 ft), San Francisco Bay, California Current",,current
46.6233,-123.945,t_26,"Bay Center, Palix River, Willapa Bay, Washington",,tide
45.5167,-123.9,t_27,"Bay City, Tillamook Bay, Oregon",,tide
37.5450,-122.222,t_28,"Bay Slough, east end, San Francisco Bay, California",,tide
37.5517,-122.243,t_29,"Bay Slough, west end, San Francisco Bay, California",,tide
34.0083,-120.047,t_30,"Bechers Bay, Santa Rosa Island, California",,tide
48.7333,-123.2333,t_31,"Bedwell Harbour, British Columbia",,tide
48.4968,-122.7308,c_42,"Belle Rock Light, east of (depth 23 ft), Rosario Strait, Washington Current",,current
48.5396,-122.6834,c_43,"Bellingham Channel South (depth 19 ft), Rosario Strait, Washington Current",,current
48.5928,-122.6577,c_44,"Bellingham Channel north entrance (depth 27 ft), Rosario Strait, Washington Current",,current
48.5585,-122.6618,c_45,"Bellingham Channel, off Cypress Head Light (depth 31 ft), Washington Current",,current
48.5603,-122.6637,c_46,"Bellingham Channel, off Cypress I. Light, Washington Current",,current
48.5500,-122.65,c_47,"Bellingham Channel, off Cypress Island, Light of, Washington Current",,current
48.7450,-122.495,t_32,"Bellingham, Bellingham Bay, Washington",,tide
48.7500,-122.5,t_33,"Bellingham, Washington",,tide
38.0346,-122.1252,c_48,"Benicia Bridge (depth 15 ft), Suisun Bay, California Current",,current
38.0433,-122.13,t_34,"Benicia, California",,tide
37.8500,-122.3,c_49,"Berkeley Yacht Harbor .9 mi S, San Francisco Bay, California Current",,current
37.8522,-122.3112,c_50,"Berkeley Yacht Harbor, California Current",,current
37.8650,-122.307,t_36,"Berkeley, San Francisco Bay, California",,tide
38.0450,-121.42,t_37,"Bishop Cut, Disappointment Slough, San Joaquin River, California",,tide
37.9947,-121.419,t_38,"Blackslough Landing, San Joaquin River, California",,tide
49.0000,-122.7667,t_39,"Blaine, Semiahmoo Bay, Washington",,tide
38.1900,-122.917,t_40,"Blakes Landing, Tomales Bay, California",,tide
37.8833,-122.4333,c_51,"Bluff Point .1 mi E, San Francisco Bay, California Current",,current
37.8833,-122.435,c_52,"Bluff Point, 0.1 mi east of (depth 8 ft), San Francisco Bay, California Current",,current
37.8872,-122.413,c_53,"Bluff Point, 1.15 nmi east of (depth 21 ft), San Francisco Bay, California Current",,current
48.8167,-123.1833,c_54,"Boat Passage, British Columbia Current",,current
38.3083,-123.055,t_41,"Bodega Harbor entrance, California",,tide
37.9078,-122.6786,t_42,"Bolinas, Bolinas Lagoon, California",,tide
37.8917,-121.488,t_43,"Borden Highway Bridge, Middle River, San Joaquin River, California",,tide
37.8833,-121.577,t_44,"Borden Highway Bridge, Old River, San Joaquin River, California",,tide
37.9367,-121.3333,t_45,"Borden Highway Bridge, San Joaquin River, California",,tide
48.4150,-122.6517,t_46,"Bowman Bay, Fidalgo Island, Washington",,tide
38.1833,-121.9233,t_47,"Bradmoor Island, Nurse Slough, Suisun Bay, California",,tide
37.8667,-121.3166,c_55,"Brandt Bridge, San Joaquin River, California Current",,current
38.2100,-122.307,t_48,"Brazos Drawbridge, Napa River, California",,tide
38.2100,-122.3066,t_49,"Brazos Drawbridge, Napa River, Carquinez Strait, California",,tide
45.6700,-123.925,t_50,"Brighton, Nehalem River, Oregon",,tide
42.0433,-124.285,t_51,"Brookings, Chetco Cove, Oregon",,tide
37.7852,-122.2605,c_56,"Brooklyn Basin (depth 5 ft), San Francisco Bay, California Current",,current
40.7783,-124.197,t_52,"Bucksport, Humboldt Bay, California",,tide
48.4600,-122.695,t_53,"Burrows Bay (Allan Island), Washington",,tide
48.4628,-122.6828,c_57,"Burrows Bay, 0.5 mi east of Allan I, Rosario Strait, Washington Current",,current
48.4667,-122.7,t_54,"Burrows Bay, Allan Island, Washington",,tide
48.4717,-122.6997,c_58,"Burrows I.-Allan I., Passage between, Washington Current",,current
48.4833,-122.7333,c_59,"Burrows Island Light, 0.8 miles WNW of, Washington Current",,current
48.4895,-122.6867,c_60,"Burrows Pass (depth 15 ft), Rosario Strait, Washington Current",,current
33.7067,-118.273,t_55,"Cabrillo Beach, California",,tide
37.4667,-122.067,t_56,"Calaveras Point, west of, San Francisco Bay, California",,tide
48.1667,-124.7333,t_57,"Cape Alava, Washington",,tide
42.8333,-124.5833,c_61,"Cape Blanco, Oregon Current",,current
46.2810,-124.0463,t_58,"Cape Disappointment, Washington",,tide
40.4333,-124.4166,t_59,"Cape Mendocino, California",,tide
42.3333,-124.4333,c_62,"Cape Sebastian, Oregon Current",,current
39.7333,-123.8333,c_63,"Cape Vizcaino, California Current",,current
36.5200,-121.94,t_60,"Carmel Cove, Carmel Bay, California",,tide
38.0624,-122.2275,c_64,"Carquinez Bridge, I-80 (depth 20 ft), Carquinez Strait, California Current",,current
38.0614,-122.2182,c_65,"Carquinez Strait (depth 12 ft), California Current",,current
45.0479,-124.0073,t_61,"Cascade Head, Salmon River, Oregon",,tide
33.4317,-118.5033,t_62,"Catalina Harbor, California",,tide
33.4317,-118.503,t_63,"Catalina Harbor, Santa Catalina Island, California",,tide
48.4167,-122.95,c_66,"Cattle Point, 1.2 mile SE of, Washington Current",,current
48.4338,-122.947,c_67,"Cattle Point, 1.2 miles southeast of, Washington Current",,current
48.4344,-122.9466,c_68,"Cattle Point, 1.2 nmi SE of (depth 39 ft), San Juan Channel, Washington Current",,current
48.4000,-123,c_69,"Cattle Point, 2.8 mi SSW of, San Juan Channel, Washington Current",,current
48.3840,-123.0157,c_70,"Cattle Point, 4.6 nmi SW of (depth 55 ft), San Juan Channel, Washington Current",,current
48.3833,-123.0167,c_71,"Cattle Point, 5 miles SSW of, Washington Current",,current
38.0500,-121.8666,c_72,"Chain Island .7 mi SW, Sacramento River, California Current",,current
46.9333,-124.1,c_73,"Channel, 1.5 mi north of Westport, Grays Harbor, Washington Current",,current
46.9333,-124.0833,c_74,"Channel, 2.1 mi NNE of Westport, Grays Harbor, Washington Current",,current
48.4500,-122.9,t_64,"Charles Island, Washington",,tide
43.3450,-124.322,t_65,"Charleston, Coos Bay, Oregon",,tide
43.3450,-124.3217,t_66,"Charleston, Oregon",,tide
48.8627,-122.761,c_75,"Cherry Point (depth 47 ft), Rosario Strait, Washington Current",,current
48.8338,-122.7279,c_76,"Cherry Point, 1.8 nmi southeast of (depth 8 ft), Rosario Strait, Washington Current",,current
48.8633,-122.758,t_67,"Cherry Point, Strait of Georgia, Washington",,tide
48.8633,-122.7583,t_68,"Cherry Point, Washington",,tide
37.9230,-122.4096,t_69,"Chevron Oil Company Pier, Richmond, San Francisco Bay, California",,tide
44.8800,-123.9636,t_70,"Chinook Bend, Siletz River, Oregon",,tide
46.2422,-123.9642,c_77,"Chinook Point, WSW of (depth 14 ft), Oregon Current",,current
46.2717,-123.9483,t_71,"Chinook, Baker Bay, Columbia River, Washington",,tide
46.2717,-123.948,t_72,"Chinook, Baker Bay, Washington",,tide
48.6667,-122.5,t_73,"Chuckanut Bay, Bellingham Bay, Washington",,tide
48.7333,-122.7667,c_78,"Clark Island, 1.6 mile North of, Washington Current",,current
48.7313,-122.7733,c_79,"Clark Island, 1.6 miles north of, Washington Current",,current
48.7313,-122.7734,c_80,"Clark Island, 1.6 nmi north of (depth 29 ft), Rosario Strait, Washington Current",,current
46.2462,-123.9942,c_81,"Clatsop Spit, NNE of (depth 15 ft), Oregon Current",,current
40.6372,-124.2822,t_74,"Cockrobin Island Bridge, Eel River, San Francisco, California",,tide
38.0733,-121.848,t_75,"Collinsville, Sacramento River, California",,tide
46.2733,-124.072,t_76,"Columbia River entrance (north jetty), Washington",,tide
48.4000,-122.8167,c_82,"Colville Island, 1 mi SSE of, Rosario Strait, Washington Current",,current
48.4167,-122.7833,c_83,"Colville Island, 1.4 miles east of, Washington Current",,current
43.3550,-124.3412,c_84,"Coos Bay entrance, Oregon Current",,current
43.3800,-124.215,t_77,"Coos Bay, Oregon",,tide
43.1217,-124.4197,c_85,"Coquille River entrance, Oregon Current",,current
37.5083,-122.21,t_78,"Corkscrew Slough, San Francisco Bay, California",,tide
48.4017,-122.623,t_79,"Cornet Bay, Deception Pass, Washington",,tide
32.6980,-117.1638,c_86,"Coronado, off northeast end (depth 14 ft), San Diego Bay, California Current",,current
37.9433,-122.513,t_80,"Corte Madera Creek, San Francisco Bay, California",,tide
48.2233,-122.69,t_81,"Coupeville, Penn Cove, Whidbey Island, Washington",,tide
37.4650,-122.023,t_82,"Coyote Creek, Alviso Slough, San Francisco Bay, California",,tide
37.4467,-121.9633,t_83,"Coyote Creek, Tributary #1, San Francisco Bay, California",,tide
37.4467,-121.963,t_84,"Coyote Creek, Tributary No. 1, San Francisco Bay, California",,tide
37.5633,-122.128,t_85,"Coyote Hills Slough entrance, San Francisco Bay, California",,tide
37.5917,-122.313,t_86,"Coyote Point Marina, San Francisco Bay, California",,tide
37.6255,-122.2961,c_87,"Coyote Point, 2.3 nmi NNE of (depth 3 ft), San Francisco Bay, California Current",,current
48.5833,-123,c_88,"Crane Island, Wasp Passage, South of, Washington Current",,current
48.5895,-122.9987,c_89,"Crane Island, south of, Wasp Passage, Washington Current",,current
48.1617,-123.725,t_87,"Crescent Bay, Strait of Juan de Fuca, Washington",,tide
48.1667,-123.7333,t_88,"Crescent Bay, Washington",,tide
41.7450,-124.183,t_89,"Crescent City, California",,tide
41.7450,-124.1833,t_90,"Crescent City, California (2) (expired 1989-12-31)",,tide
38.0583,-122.223,t_91,"Crockett, Carquinez Strait, California",,tide
32.7800,-117.235,t_92,"Crown Point, Mission Bay, California",,tide
34.0567,-120.355,t_93,"Cuyler Harbor, San Miguel Island, California",,tide
38.0619,-122.2767,c_90,"Davis Point, 1.0 nmi NW of (depth 7 ft), San Pablo Bay, California Current",,current
38.0633,-122.2583,c_92,"Davis Point, midchannel (depth 8 ft), San Pablo Bay, California Current",,current
38.0117,-121.638,t_94,"Davis Slough, San Joaquin River, California",,tide
48.4167,-122.7333,c_93,"Deception Island, 2.7 mile West of, Washington Current",,current
48.4125,-122.7395,c_94,"Deception Island, 2.7 miles west of, Washington Current",,current
48.4062,-122.6431,c_95,"Deception Pass (Narrows) (depth 18 ft), Rosario Strait, Washington Current",,current
48.4150,-122.652,t_95,"Deception Pass St. Park, Bowman Bay, Fidalgo I., Washington",,tide
44.8100,-124.058,t_96,"Depoe Bay, Oregon",,tide
47.6667,-124.4833,t_97,"Destruction Island, Washington",,tide
45.4817,-123.902,t_98,"Dick Point, Tillamook Bay, Oregon",,tide
38.0589,-122.193,c_96,"Dillon Point (depth 19 ft), Carquinez Strait, California Current",,current
48.4521,-123.1554,c_97,"Discovery Island, 3.0 nmi NE of (depth 41 ft), Washington Current",,current
48.4500,-123.15,c_98,"Discovery Island, 3.3 miles northeast of, Washington Current",,current
48.3002,-123.1672,c_99,"Discovery Island, 7.6 mi SSE of (depth 28 ft), Strait of Juan de Fuca, Washington Current",,current
37.9961,-122.9767,t_99,"Drakes Bay, Point Reyes, California",,tide
48.9908,-122.7678,c_101,"Drayton Harbor entrance, Georgia Strait, Washington Current",,current
48.9917,-122.765,t_100,"Drayton Harbor, Blaine, Strait of Georgia, Washington",,tide
44.4133,-123.99,t_101,"Drift Creek, Alsea River, Oregon",,tide
37.5000,-122.1167,t_102,"Dumbarton Bridge, San Francisco Bay, California (2)",,tide
37.5100,-122.12,c_102,"Dumbarton Bridge, San Francisco Bay, California Current",,current
37.5018,-122.116,c_103,"Dumbarton Highway Bridge (depth 4 ft), San Francisco Bay, California Current",,current
37.5067,-122.115,t_103,"Dumbarton Highway Bridge, San Francisco Bay, California",,tide
37.5000,-122.1166,c_104,"Dumbarton Hwy Bridge, South San Francisco Bay, California Current",,current
37.5013,-122.1155,c_105,"Dumbarton Hwy. Bridge, 0.28 nmi SE of (depth 25 ft), California Current",,current
37.4667,-122.0666,c_106,"Dumbarton Point 2.3 mi NE, South San Francisco Bay, California Current",,current
37.4875,-122.0813,c_107,"Dumbarton Point, 1.15 nmi SE of (depth 17 ft), San Francisco Bay, California Current",,current
37.4750,-122.07,c_108,"Dumbarton Point, 2.25 mi SE of (depth 8 ft), San Francisco Bay, California Current",,current
48.1667,-123.117,t_104,"Dungeness, Strait of Juan de Fuca, Washington",,tide
48.1667,-123.1167,t_105,"Dungeness, Washington",,tide
48.5833,-122.7,t_106,"Eagle Harbor, Cypress Island, Washington",,tide
48.7500,-122.9,t_107,"Echo Bay, Sucia Island, Washington",,tide
48.7567,-122.897,t_108,"Echo Bay, Sucia Islands, Strait of Georgia, Washington",,tide
38.1917,-122.312,t_109,"Edgerley Island, Napa River, California",,tide
38.1917,-122.3116,t_110,"Edgerley Island, Napa River, Carquinez Strait, California",,tide
48.1667,-123.4158,c_109,"Ediz Hook Light, 1.2 mi N of (depth 36 ft), Strait of Juan de Fuca, Washington Current",,current
48.1667,-123.4167,c_110,"Ediz Hook Light, 1.2 miles north of, Washington Current",,current
48.1823,-123.2815,c_111,"Ediz Hook Light, 5.3 mi ENE of (depth 22 ft), Strait of Juan de Fuca, Washington Current",,current
48.1833,-123.2833,c_112,"Ediz Hook Light, 5.3 miles ENE of, Washington Current",,current
48.1400,-123.413,t_111,"Ediz Hook, Port Angeles, Strait of Juan de Fuca, Washington",,tide
40.6333,-124.3166,t_112,"Eel River entrance, California",,tide
33.9083,-118.433,t_113,"El Segundo, Santa Monica Bay, California",,tide
40.7567,-124.1933,t_114,"Elk River Railroad Bridge #18, Humboldt Bay, California",,tide
40.7567,-124.193,t_115,"Elk River Railroad Bridge, Humboldt Bay, California",,tide
36.8183,-121.747,t_116,"Elkhorn Slough at Elkhorn, Monterey Bay, California",,tide
36.8567,-121.755,t_117,"Elkhorn Slough railroad bridge, Monterey Bay, California",,tide
36.8100,-121.785,t_118,"Elkhorn Slough, Highway 1 Bridge, Monterey Bay, California",,tide
36.8133,-121.7866,t_119,"Elkhorn Yacht Club, California",,tide
36.8133,-121.7867,t_120,"Elkhorn Yacht Club, Elkhorn Slough, California (sub)",,tide
36.8133,-121.787,t_121,"Elkhorn Yacht Club, Monterey Bay, California",,tide
36.8183,-121.745,t_122,"Elkhorn, California",,tide
36.8183,-121.7467,t_123,"Elkhorn, Elkhorn Slough, Monterey Bay, California (sub)",,tide
37.8433,-122.3254,c_113,"Emeryville Marina (depth 5 ft), San Francisco Bay, California Current",,current
43.3917,-124.28,t_124,"Empire, Coos Bay, Oregon",,tide
38.1212,-122.0675,c_114,"Entrance (depth 3 ft), Suisun Slough, Suisun Bay, California Current",,current
46.9263,-124.1613,c_115,"Entrance, 0.2 mi south of north jetty, Grays Harbor, Washington Current",,current
46.9147,-124.125,c_116,"Entrance, 0.6 mi WNW of Westport, Grays Harbor, Washington Current",,current
38.0583,-121.8705,c_117,"Entrance, 0.7 mi SW of Chain Island (depth 7 ft), Suisun Bay, California Current",,current
38.0585,-121.8712,c_118,"Entrance, 0.7 nmi SW of Chain Island (depth 9 ft), Sacramento River, California Current",,current
46.9167,-124.1333,c_119,"Entrance, 1.1 mi NW of Westport, Grays Harbor, Washington Current",,current
46.9083,-124.1555,c_120,"Entrance, Point Chehalis Range, Grays Harbor, Washington Current",,current
44.0167,-124.1333,t_125,"Entrance, Siuslaw River, Oregon",,tide
43.6833,-124.2,t_126,"Entrance, Umpqua River, Oregon",,tide
40.8067,-124.142,t_127,"Eureka Slough Bridge, Humboldt Bay, California",,tide
40.8067,-124.167,t_128,"Eureka, Humboldt Bay, California",,tide
38.0550,-121.657,t_129,"False River, San Joaquin River, California",,tide
48.5200,-122.7697,c_121,"Fauntleroy Point Light, 0.8 mile ESE of, Washington Current",,current
48.5167,-122.7667,c_122,"Fauntleroy Point Light, 0.89 mile ESE of, Washington Current",,current
48.5216,-122.7707,c_123,"Fauntleroy Point Light, east of (depth 21 ft), Rosario Strait, Washington Current",,current
48.8333,-122.7167,t_130,"Ferndale, Strait of Georgia, Washington",,tide
40.7233,-124.222,t_131,"Fields Landing, Humboldt Bay, California",,tide
37.8500,-122.35,c_124,"Fleming Point 1.7 mi SW, San Francisco Bay, California Current",,current
37.8770,-122.3588,c_125,"Fleming Point, 1.72 nmi SW of (depth 3 ft), San Francisco Bay, California Current",,current
44.0021,-124.123,t_132,"Florence USCG Pier, Suislaw River, Oregon",,tide
43.9667,-124.103,t_133,"Florence, Siuslaw River, Oregon",,tide
39.4500,-123.8167,t_134,"Fort Bragg Landing, California",,tide
46.2667,-124.0366,t_135,"Fort Canby, Jetty A, Columbia River, Washington",,tide
46.2683,-124.037,t_136,"Fort Canby, Jetty A, Washington",,tide
37.8092,-122.4828,c_126,"Fort Point, 0.3 nmi west of (depth 75 ft), California Current",,current
37.8117,-122.4663,c_127,"Fort Point, 0.5 nmi east of (depth 55 ft), California Current",,current
38.5133,-123.245,t_137,"Fort Ross, California",,tide
48.5500,-123,t_138,"Friday Harbor, San Juan Channel, Washington",,tide
48.5453,-123.0129,t_139,"Friday Harbor, San Juan Island, San Juan Channel, Washington",,tide
48.5467,-123.01,t_140,"Friday Harbor, San Juan Island, Washington",,tide
48.5392,-122.8308,c_128,"Frost-Willow Island, between, Rosario Strait, Washington Current",,current
32.7083,-117.1775,c_129,"G St. Pier (San Diego), 0.22 nmi SW of (depth 14 ft), San Diego Bay, California Current",,current
38.0150,-122.5033,t_141,"Gallinas Creek, San Pablo Bay, California",,tide
38.0150,-122.503,t_142,"Gallinas, Gallinas Creek, San Pablo Bay, California",,tide
48.0583,-122.917,t_143,"Gardiner, Discovery Bay, Strait of Juan de Fuca, Washington",,tide
48.0667,-122.9167,t_144,"Gardiner, Discovery Bay, Washington",,tide
43.7333,-124.1167,t_145,"Gardiner, Umpqua River, Oregon",,tide
45.5583,-123.9117,t_146,"Garibaldi, Oregon",,tide
45.5545,-123.9189,t_147,"Garibaldi, Tillamook Bay, Oregon",,tide
34.4694,-120.2283,t_148,"Gaviota State Park, California",,tide
34.4667,-120.2167,t_149,"Gaviota, California",,tide
36.8017,-121.7866,t_150,"General Fish Company Pier, California",,tide
36.8017,-121.7867,t_151,"General Fish Company Pier, Moss Landing, California (sub)",,tide
36.8017,-121.787,t_152,"General Fish Company Pier, Moss Landing, Monterey Bay, California",,tide
38.1250,-121.578,t_153,"Georgiana Slough entrance, Mokelumne River, California",,tide
42.4216,-124.4187,t_154,"Gold Beach, Rogue River, Oregon",,tide
37.4233,-121.975,t_155,"Gold Street Bridge, Alviso Slough, San Francisco Bay, California",,tide
37.8167,-122.45,c_130,"Golden Gate Bridge .8 mi E ., San Francisco Bay, California Current",,current
37.8201,-122.473,c_131,"Golden Gate Bridge, 0.46 nmi E of (depth 30 ft), California Current",,current
37.8217,-122.4617,c_132,"Golden Gate Bridge, 0.8 mi east of, California Current",,current
37.8292,-122.462,c_133,"Golden Gate Bridge, 0.88 nmi NE of (depth 21 ft), California Current",,current
48.7300,-122.67,t_156,"Gooseberry Point, Hale Passage, Washington",,tide
37.4950,-122.213,t_157,"Granite Rock, Redwood Creek, San Francisco Bay, California",,tide
37.8200,-121.4466,t_158,"Grant Line Canal (drawbridge), Old River, California",,tide
37.8200,-121.447,t_159,"Grant Line Canal (drawbridge), San Joaquin River, California",,tide
46.9225,-124.133,c_134,"Grays Harbor entrance (depth 12 ft), Washington Current",,current
38.7043,-123.4494,t_160,"Green Cove, California",,tide
48.5047,-122.7062,c_135,"Green Point, 0.8 mi northwest of, Rosario Strait, Washington Current",,current
48.5000,-122.7,c_136,"Green Point, 0.8 mile NW of, Washington Current",,current
46.3722,-123.9503,t_161,"Greenhead Slough, Washington",,tide
38.1032,-122.0525,c_137,"Grizzly Bay entrance (depth 2 ft), Suisun Bay, California Current",,current
48.5167,-122.65,c_138,"Guemes Channel, West entrance of, Washington Current",,current
48.5277,-122.606,c_139,"Guemes Channel, east entrance (depth 9 ft), Rosario Strait, Washington Current",,current
48.5212,-122.6522,c_140,"Guemes Channel, west entrance (depth 11 ft), Rosario Strait, Washington Current",,current
48.7313,-122.6778,c_141,"Hale Passage, 0.5 mile SE of Lummi Point, Washington Current",,current
48.7349,-122.6802,c_142,"Hale Passage, east of Lummi Point (depth 8 ft), Rosario Strait, Washington Current",,current
37.5017,-122.4866,t_162,"Half Moon Bay, California",,tide
43.6750,-124.192,t_163,"Halfmoon Bay, Umpqua River, Oregon",,tide
46.2017,-123.945,t_164,"Hammond, Oregon",,tide
46.2112,-123.9345,c_143,"Hammond, northeast of ship channel (depth 15 ft), Oregon Current",,current
48.5817,-123.17,t_165,"Hanbury Point, Mosquito Pass, San Juan I., Haro Strait, Washington",,tide
32.7192,-117.1917,c_144,"Harbor Island (east end), SSW of (depth 15 ft), San Diego Bay, California Current",,current
48.5908,-122.9205,c_145,"Harney Channel, Washington Current",,current
48.5897,-122.9217,c_146,"Harney Channel, north of Point Hudson (depth 10 ft), San Juan Channel, Washington Current",,current
48.5887,-123.2258,c_147,"Haro Strait, 1.2 nmi west of Kellett Bluff (depth 66 ft), Washington Current",,current
44.1333,-124.1333,c_148,"Heceta Head, Oregon Current",,current
38.0233,-122.292,t_166,"Hercules, Refugio Landing, San Pablo Bay, California",,tide
38.1617,-122.55,t_167,"Hog Island, San Antonio Creek, San Pablo Bay, California",,tide
37.9350,-121.435,t_168,"Holt, Whiskey Slough, San Joaquin River, California",,tide
40.6867,-124.222,t_169,"Hookton Slough, Humboldt Bay, California",,tide
48.8000,-123.2667,t_170,"Hope Bay, British Columbia",,tide
48.5458,-122.5663,c_149,"Huckleberry Island, 0.5 mi north of, Rosario Strait, Washington Current",,current
40.7450,-124.2267,t_171,"Humboldt Bay (south jetty), California (expired 1984-12-31)",,tide
40.7667,-124.25,t_172,"Humboldt Bay Entrance, California",,tide
40.7579,-124.2328,c_150,"Humboldt Bay ent., 0.1 nmi NE of South Spit Light (depth 14 ft), California Current",,current
